Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/08,Fev/08,Mar/08,Abr/08,Mai/08,Jun/08,Jul/08,Ago/08,Set/08,Out/08,Nov/08,Dez/08,Região,Rpga,Total
Salvador - Inema -Monte Serrat,-12.930789,-38.517167,2.4,237.3,207.2,131.9,194.5,187.1,107,57.4,48.1,42.7,73.7,127,Recôncavo,RPGA do Recôncavo Norte,1215.61
Ubaíra - EBDA,-13.268014,-39.667756,27,216.5,269,90,28.5,125,105,57,50,20.5,65,266,Recôncavo,RPGA do Recôncavo Sul,988.5
Cruz das Almas - 83222,-12.666667,-39.083333,8.4,156.4,127.6,72.8,59.1,171.6,116.4,55.9,73,57.4,50.1,88.1,Recôncavo,RPGA do Rio Paraguaçu,898.6
Coaraci,-14.634708,-39.551092,72.8,83.6,85,52.6,11.09,50.8,36,55.4,5.2,32.7,96.5,224.9,Sul,RPGA do Leste,485.19
Heliópolis - EBDA,-10.667965,-38.284375,6.6,27.4,164.7,37.1,112.3,42,25,55.3,0,3.8,0,0,Nordeste,RPGA do Rio Real,474.2
Saúde - EBDA,-10.934629,-40.417765,0,24,0,132.3,182,97.8,31,54,16,5,0,0,Nordeste,RPGA do Rio Itapicuru,542.1
Ribeira do Pombal - EBDA,-10.834635,-38.534383,26,37.8,118.3,33.9,118.8,108.1,60.7,53.7,24.1,0.5,0,0,Nordeste,RPGA do Rio Itapicuru,581.9
Euclides da Cunha - A442,-10.537233,-38.996605,,,,,,80,79.2,53.6,29,3.4,5.6,68.8,Nordeste,RPGA do Rio Itapicuru,245.2
Salvador - Itapuã - RN-CL-01,-12.931388,-38.361111,13.25,93.75,139.5,129.75,223.1,149.55,151.75,53.5,36.25,43.5,46.75,85.3,Recôncavo,RPGA do Recôncavo Norte,1033.9
Irará - EBDA,-12.034659,-38.767726,10,183,63.5,57.5,80.5,66.5,118,52.7,26.5,68.5,69,47.1,Recôncavo,RPGA do Recôncavo Norte,726.7
